codigo,anio,mes,demanda_total,n_ots,precio_unitario_promedio,km_promedio,marca,stock_actual,stock_minimo,stock_maximo,fecha,lag_1,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,mes_sin,mes_cos,km_log,km_por_mes,precio_log,sobre_stock,codigo_enc,marca_enc
01001-01001,2025,3,24.0,4,58.745,75774.25,WOLVER,0.0,0.0,0.0,2025-03-01,17.0,6.0,63.0,5.0,30.5,17.6705970470723,22.416666666666668,15.704829405844135,1.0,6.123233995736766e-17,11.235527001161737,3.7451756670539122,4.090085505301717,0,0,0
01001-01001,2025,4,31.0,5,56.65999999999999,59538.2,WOLVER,0.0,0.0,0.0,2025-04-01,24.0,50.5,26.0,42.0,24.0,7.000000000000026,23.25,16.06160016934801,0.8660254037844387,-0.4999999999999998,10.994390198134186,2.7485975495335464,4.054563692210256,0,0,0
01001-01001,2025,5,19.0,3,56.66,42741.66666666666,WOLVER,0.0,0.0,0.0,2025-05-01,31.0,17.0,11.0,41.0,24.666666666666668,6.027713773341738,24.583333333333332,15.147331998298139,0.49999999999999994,-0.8660254037844387,10.66295291968923,2.132590583937846,4.054563692210256,0,0,0
01001-01001,2025,6,6.0,1,66.86,97417.0,WOLVER,0.0,0.0,0.0,2025-06-01,19.0,24.0,6.0,24.0,18.666666666666668,12.503332889007385,24.583333333333332,15.147331998298139,1.2246467991473532e-16,-1.0,11.486766277484431,1.9144610462474052,4.2174467593560845,0,0,0
01001-01001,2025,8,6.0,1,56.66,51278.0,WOLVER,0.0,0.0,0.0,2025-08-01,6.0,31.0,50.5,30.0,10.333333333333334,7.505553499465172,17.166666666666668,9.907909298467898,-0.8660254037844385,-0.5000000000000004,10.845036590624378,1.3556295738280473,4.054563692210256,0,0,0
01001-01001,2025,9,26.0,4,56.66,92360.25,WOLVER,0.0,0.0,0.0,2025-09-01,6.0,19.0,17.0,53.0,12.666666666666666,11.547005383792536,18.666666666666668,10.538817137927133,-1.0,-1.8369701987210297e-16,11.433462797374249,1.2703847552638055,4.054563692210256,0,0,0
01001-01001,2025,10,11.0,2,56.66,66479.5,WOLVER,0.0,0.0,0.0,2025-10-01,26.0,6.0,24.0,63.0,14.333333333333334,10.408329997330688,16.5,10.559356040971435,-0.8660254037844386,0.5000000000000001,11.104663950560012,1.1104663950560012,4.054563692210256,0,0,0
01001-01001,2025,11,19.0,3,56.66,85296.66666666667,WOLVER,0.0,0.0,0.0,2025-11-01,11.0,6.0,31.0,26.0,18.666666666666668,7.505553499465163,14.5,8.117881497040958,-0.5000000000000004,0.8660254037844384,11.353902378670305,1.0321729435154823,4.054563692210256,0,0,0
01001-01001,2025,12,7.0,1,56.66,81225.0,WOLVER,0.0,0.0,0.0,2025-12-01,19.0,26.0,19.0,11.0,12.333333333333334,6.110100926607828,12.5,8.264381404557753,-2.4492935982947064e-16,1.0,11.30499067194197,0.9420825559951642,4.054563692210256,0,0,0
01001-01001,2026,1,29.0,5,56.65999999999999,150853.0,WOLVER,0.0,0.0,0.0,2026-01-01,7.0,11.0,6.0,6.0,18.333333333333332,11.015141094572222,16.333333333333332,9.831920802501749,0.49999999999999994,0.8660254037844387,11.92406776064268,11.92406776064268,4.054563692210256,0,0,0
01001-01001,2026,2,42.0,7,57.137142857142855,82355.28571428571,WOLVER,0.0,0.0,0.0,2026-02-01,29.0,19.0,6.0,50.5,26.0,17.691806012954142,22.333333333333332,12.801041624284588,0.8660254037844386,0.5000000000000001,11.318810061949513,5.659405030974757,4.062804751459196,0,0,0
01001-01001,2026,3,17.0,3,56.66,47783.0,WOLVER,0.0,0.0,0.0,2026-03-01,42.0,7.0,26.0,17.0,29.333333333333332,12.50333288900738,20.833333333333332,12.81275406252171,1.0,6.123233995736766e-17,10.774446134412141,3.591482044804047,4.054563692210256,0,0,0
01001-01001,2026,4,12.0,2,56.66,85027.0,WOLVER,0.0,0.0,0.0,2026-04-01,17.0,29.0,11.0,24.0,23.666666666666668,16.072751268321603,21.0,12.664912159190047,0.8660254037844387,-0.4999999999999998,11.350735892993017,2.837683973248254,4.054563692210256,0,0,0
01001-01001,2026,5,19.5,4,55.77,62395.75,WOLVER,0.0,0.0,0.0,2026-05-01,12.0,42.0,19.0,31.0,16.166666666666668,3.8188130791299306,21.083333333333332,12.650757553074305,0.49999999999999994,-0.8660254037844387,11.041268469667802,2.2082536939335604,4.039008017182635,0,0,0
01001-01002,2025,4,7.0,1,45.0,96387.0,SIN MARCA,3.5,0.0,0.0,2025-04-01,15.0,15.0,23.0,5.0,13.666666666666666,6.110100926607792,14.333333333333334,5.046450898073483,0.8660254037844387,-0.4999999999999998,11.476136991522393,2.8690342478805984,3.828641396489095,1,1,1
