codigo,anio,mes,demanda_total,n_ots,precio_unitario_promedio,km_promedio,marca,stock_actual,stock_minimo,stock_maximo,fecha
01001-01001,2024,2,5.0,1,49.5,73427.0,WOLVER,0.0,0.0,0.0,2024-02-01
01001-01001,2024,3,42.0,9,54.434444444444445,39317.11111111111,WOLVER,0.0,0.0,0.0,2024-03-01
01001-01001,2024,4,41.0,8,56.66875,59735.375,WOLVER,0.0,0.0,0.0,2024-04-01
01001-01001,2024,5,24.0,4,56.665,53567.25,WOLVER,0.0,0.0,0.0,2024-05-01
01001-01001,2024,6,30.0,7,56.66857142857143,56368.857142857145,WOLVER,0.0,0.0,0.0,2024-06-01
01001-01001,2024,7,53.0,10,56.669000000000004,59459.2,WOLVER,0.0,0.0,0.0,2024-07-01
01001-01001,2024,8,63.0,11,57.23818181818182,57118.90909090909,WOLVER,0.0,0.0,0.0,2024-08-01
01001-01001,2024,9,26.0,5,56.65999999999999,61236.0,WOLVER,0.0,0.0,0.0,2024-09-01
01001-01001,2024,10,11.0,2,56.66,64942.5,WOLVER,0.0,0.0,0.0,2024-10-01
01001-01001,2024,12,6.0,1,56.66,71377.0,WOLVER,0.0,0.0,0.0,2024-12-01
01001-01001,2025,1,50.5,9,55.864444444444445,72211.22222222222,WOLVER,0.0,0.0,0.0,2025-01-01
01001-01001,2025,2,17.0,3,56.66,77723.33333333333,WOLVER,0.0,0.0,0.0,2025-02-01
01001-01001,2025,3,24.0,4,58.745,75774.25,WOLVER,0.0,0.0,0.0,2025-03-01
01001-01001,2025,4,31.0,5,56.65999999999999,59538.2,WOLVER,0.0,0.0,0.0,2025-04-01
01001-01001,2025,5,19.0,3,56.66,42741.666666666664,WOLVER,0.0,0.0,0.0,2025-05-01
01001-01001,2025,6,6.0,1,66.86,97417.0,WOLVER,0.0,0.0,0.0,2025-06-01
01001-01001,2025,8,6.0,1,56.66,51278.0,WOLVER,0.0,0.0,0.0,2025-08-01
01001-01001,2025,9,26.0,4,56.66,92360.25,WOLVER,0.0,0.0,0.0,2025-09-01
01001-01001,2025,10,11.0,2,56.66,66479.5,WOLVER,0.0,0.0,0.0,2025-10-01
01001-01001,2025,11,19.0,3,56.66,85296.66666666667,WOLVER,0.0,0.0,0.0,2025-11-01
01001-01001,2025,12,7.0,1,56.66,81225.0,WOLVER,0.0,0.0,0.0,2025-12-01
01001-01001,2026,1,29.0,5,56.65999999999999,150853.0,WOLVER,0.0,0.0,0.0,2026-01-01
01001-01001,2026,2,42.0,7,57.137142857142855,82355.28571428571,WOLVER,0.0,0.0,0.0,2026-02-01
01001-01001,2026,3,17.0,3,56.66,47783.0,WOLVER,0.0,0.0,0.0,2026-03-01
01001-01001,2026,4,12.0,2,56.66,85027.0,WOLVER,0.0,0.0,0.0,2026-04-01
01001-01001,2026,5,19.5,4,55.769999999999996,62395.75,WOLVER,0.0,0.0,0.0,2026-05-01
01001-01002,2024,2,5.0,1,42.29,132586.0,SIN MARCA,3.5,0.0,0.0,2024-02-01
